Question,Answer
What is the course number of IDeATe: Introduction to 3D Animation Pipeline?,60125
What is the name of course number 60125?,IDeATe: Introduction to 3D Animation Pipeline
What time does the course 60125 IDeATe: Introduction to 3D Animation Pipeline begin?,12:30PM
What time does the course 60125 IDeATe: Introduction to 3D Animation Pipeline end?,01:50PM
What days does the course 60125 IDeATe: Introduction to 3D Animation Pipeline meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,CMU REMOTE
How many units is the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,12.0
Who are the instructors of the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,Mahler
Is the course 60125 IDeATe: Introduction to 3D Animation Pipeline offered in  Summer One/All 2024?,Yes
What is the course number of Basic Science to Modern Medicine?,03132
What is the name of course number 03132?,Basic Science to Modern Medicine
What time does the course 03132 Basic Science to Modern Medicine begin?,02:00PM
What time does the course 03132 Basic Science to Modern Medicine end?,03:20PM
What days does the course 03132 Basic Science to Modern Medicine meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 03132 Basic Science to Modern Medicine?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03132 Basic Science to Modern Medicine?,CMU REMOTE
How many units is the course 03132 Basic Science to Modern Medicine?,9.0
Who are the instructors of the course 03132 Basic Science to Modern Medicine?,Mccartney
Is the course 03132 Basic Science to Modern Medicine offered in  Summer One/All 2024?,Yes
What is the course number of Tissue Engineering?,42882
What is the name of course number 42882?,Tissue Engineering
What time does the course 42882 Tissue Engineering begin?,07:00PM
What time does the course 42882 Tissue Engineering end?,08:30PM
What days does the course 42882 Tissue Engineering meet?,"Wednesday, "
What is the location of the course 42882 Tissue Engineering?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42882 Tissue Engineering?,CMU REMOTE
How many units is the course 42882 Tissue Engineering?,12.0
Who are the instructors of the course 42882 Tissue Engineering?,Palchesko
Is the course 42882 Tissue Engineering offered in  Summer One/All 2024?,Yes
What is the course number of Organizational Behavior?,70311
What is the name of course number 70311?,Organizational Behavior
What time does the course 70311 Organizational Behavior begin?,09:30AM
What time does the course 70311 Organizational Behavior end?,10:50AM
What days does the course 70311 Organizational Behavior meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 70311 Organizational Behavior?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70311 Organizational Behavior?,TEP 2612
How many units is the course 70311 Organizational Behavior?,9.0
Who are the instructors of the course 70311 Organizational Behavior?,Zhang
Is the course 70311 Organizational Behavior offered in  Summer One/All 2024?,Yes
What is the course number of Organic Chemistry I?,09217
What is the name of course number 09217?,Organic Chemistry I
What time does the course 09217 Organic Chemistry I begin?,09:30AM
What time does the course 09217 Organic Chemistry I end?,10:50AM
What days does the course 09217 Organic Chemistry I meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 09217 Organic Chemistry I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 09217 Organic Chemistry I?,DH 2302
How many units is the course 09217 Organic Chemistry I?,9.0
Who are the instructors of the course 09217 Organic Chemistry I?,Silva
Is the course 09217 Organic Chemistry I offered in  Summer One/All 2024?,Yes
What is the course number of Principles of Functional Programming?,15150
What is the name of course number 15150?,Principles of Functional Programming
What time does the course 15150 Principles of Functional Programming begin?,11:00AM
What time does the course 15150 Principles of Functional Programming end?,12:20PM
What days does the course 15150 Principles of Functional Programming meet?,"Monday, Tuesday, Wednesday, ThursdayFriday"
What is the location of the course 15150 Principles of Functional Programming?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 15150 Principles of Functional Programming?,GHC CLSTR
How many units is the course 15150 Principles of Functional Programming?,12.0
Who are the instructors of the course 15150 Principles of Functional Programming?,Instructor TBA
